name;country
Berovo;North Macedonia
Bitola;North Macedonia
Bogdanci;North Macedonia
Debar;North Macedonia
Delčevo;North Macedonia
Demir Kapija;North Macedonia
Demir Hisar;North Macedonia
Gevgelija;North Macedonia
Gostivar;North Macedonia
Kavadarci;North Macedonia
Kičevo;North Macedonia
Kočani;North Macedonia
Kratovo;North Macedonia
Kriva Palanka;North Macedonia
Kruševo;North Macedonia
Kumanovo;North Macedonia
Makedonski Brod;North Macedonia
Makedonska Kamenica;North Macedonia
Negotino;North Macedonia
Ohrid;North Macedonia
Pehčevo;North Macedonia
Prilep;North Macedonia
Probištip;North Macedonia
Radoviš;North Macedonia
Resen;North Macedonia
Sveti Nikole;North Macedonia
Skopje;North Macedonia
Struga;North Macedonia
Strumica;North Macedonia
Štip;North Macedonia
Tetovo;North Macedonia
Valandovo;North Macedonia
Veles;North Macedonia
Vinica;North Macedonia
